Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
01/07/2016 00:00,666.33,684.1,659.71,674.86,6432.92,4339245.16,674.54
02/07/2016 00:00,674.55,704.93,672.74,702.48,5506.04,3811458.84,692.23
03/07/2016 00:00,702.48,704.99,646.29,658.27,7320.32,4906039.38,670.19
04/07/2016 00:00,659.77,682.35,640.1,680.35,4290.13,2870919.4,669.19
05/07/2016 00:00,678.74,682.36,661.57,668.94,3112.73,2092573.28,672.26
06/07/2016 00:00,669.09,679,662.13,674.7,3590.61,2412784.3,671.97
07/07/2016 00:00,674.7,678.43,605.5,638.19,12686.98,8058820.66,635.2
08/07/2016 00:00,638.89,665.99,635,663,6579.39,4252992.55,646.41
09/07/2016 00:00,663,663.99,626,647.78,6180.15,3994710.13,646.38
10/07/2016 00:00,647.78,650.88,636.8,648.76,2313.35,1490267.22,644.2
11/07/2016 00:00,648.77,659.6,639.31,649.32,2978.14,1932846.2,649.01
12/07/2016 00:00,649.32,678,646.05,663.52,4288.08,2839548.15,662.2
13/07/2016 00:00,663.52,669.97,651.03,655.06,6573.2,4342194.79,660.59
14/07/2016 00:00,652.24,664.93,650.01,659.1,2392.43,1576629.17,659.01
15/07/2016 00:00,660.3,670.01,658.41,664.6,3228.34,2143543.85,663.98
16/07/2016 00:00,664.6,666.67,655,662.45,1682.68,1111201.66,660.38
17/07/2016 00:00,662.45,684.19,661.35,679.54,3437.77,2320473.32,674.99
18/07/2016 00:00,679.54,682.21,666.12,672.1,3012.21,2037381.51,676.38
19/07/2016 00:00,673.45,675.81,666,673.48,1904.43,1278189.69,671.16
20/07/2016 00:00,674.8,675,660,667.03,3418.63,2282261.38,667.6
21/07/2016 00:00,667.01,667.1,660.1,663.99,2503.04,1661238.41,663.69
22/07/2016 00:00,663.25,666.3,645,649.95,5191.56,3407485.36,656.35
23/07/2016 00:00,647.88,656.77,646,655.52,1284.52,838038.6,652.41
24/07/2016 00:00,655.52,665,651.99,661.47,1427.98,939586.01,657.98
25/07/2016 00:00,659.64,661.99,652.28,654.96,2441.94,1600627.63,655.47
26/07/2016 00:00,655,656.94,645.01,651.24,3552.83,2311378.91,650.57
27/07/2016 00:00,651.22,659.98,646.31,653.48,2664.94,1742046.06,653.69
28/07/2016 00:00,655.13,657.89,652.41,653.07,1909.24,1249934.3,654.68
29/07/2016 00:00,654.84,657.48,653,654.61,1297.15,848986.16,654.5
30/07/2016 00:00,654.88,657.5,652.19,654.67,719.16,470912.14,654.81
31/07/2016 00:00,654.02,654.71,614.97,623.83,4933.62,3125805.15,633.57
01/08/2016 00:00,622.5,630,603.63,606.35,5512.82,3399251.95,616.61
02/08/2016 00:00,606.84,613.03,465.28,540,22142.67,12122476.93,547.47
03/08/2016 00:00,540,572.34,521,563.42,15453.59,8476073.71,548.49
04/08/2016 00:00,563.99,583.97,552,576.13,8499.84,4849529.14,570.54
05/08/2016 00:00,578.14,578.2,562,572.5,4811.24,2744096.47,570.35
06/08/2016 00:00,572.98,592,562.56,589.48,6021.31,3470953.45,576.45
07/08/2016 00:00,589.47,598.82,582.12,592.47,2910.31,1720291.73,591.1
08/08/2016 00:00,592.47,594,583.58,591.88,3181.85,1876919.92,589.88
09/08/2016 00:00,591.85,591.85,579.43,582.75,3174.71,1856560.62,584.8
10/08/2016 00:00,582.71,603,580.01,590.27,5217.76,3093831.6,592.94
11/08/2016 00:00,590.46,597.78,585.22,585.22,2543.68,1504308.96,591.39
12/08/2016 00:00,585.25,591.19,580.47,585.91,2177.38,1276363.86,586.19
13/08/2016 00:00,585.34,589.98,581.71,583.52,962.3,563625.08,585.7
14/08/2016 00:00,583.54,583.92,556.24,568.76,4812.89,2748170.07,571
15/08/2016 00:00,568.76,573.69,554.9,565.55,4633.75,2618493.49,565.09
16/08/2016 00:00,564.2,579.8,563,574.99,4837.19,2766616.06,571.95
17/08/2016 00:00,574.95,577.86,566.02,570.91,4108.6,2348397.53,571.58
18/08/2016 00:00,570.91,575.87,568.79,571.49,3967.28,2271526.86,572.56
19/08/2016 00:00,571.51,574.86,552.3,572.91,4652.01,2653115.88,570.32
20/08/2016 00:00,572.98,581.02,568.52,577.88,2431.79,1399905.47,575.67
21/08/2016 00:00,577.7,583.99,576.01,577.55,1139.76,659564.96,578.69
22/08/2016 00:00,577.55,585.95,572.5,582.78,5086.06,2950211.77,580.06
23/08/2016 00:00,582.78,584.99,576,580.23,4182.05,2429199.91,580.86
24/08/2016 00:00,580.27,582.1,575.4,577.58,2991.01,1731521.18,578.91
25/08/2016 00:00,577.65,578.75,571.16,575.71,4231.41,2432466.9,574.86
26/08/2016 00:00,575.75,582.46,574.1,578.78,3300.3,1906954.63,577.81
27/08/2016 00:00,577.92,579.09,564.81,568.31,2702.58,1540115.46,569.87
28/08/2016 00:00,567.51,573.34,566.8,573.2,1034.08,589949.31,570.51
29/08/2016 00:00,573.2,575,568.6,571.5,2333.01,1337424.14,573.26
30/08/2016 00:00,570.74,576.5,568.55,575.91,4439.35,2549324.68,574.26
31/08/2016 00:00,575.88,576.49,568.4,570.75,3917.83,2238453.98,571.35
01/09/2016 00:00,570.75,572.86,566.86,571.05,2833.21,1614962.02,570.01
02/09/2016 00:00,571.05,574.2,567.03,572,2996.65,1711339.75,571.08
03/09/2016 00:00,572,598.64,569.01,595.01,4645.78,2709470.38,583.21
04/09/2016 00:00,596.25,609.05,590.88,603.72,3951.2,2374456.19,600.95
05/09/2016 00:00,605.72,607.31,592.46,603.48,3838.18,2307087.14,601.09
06/09/2016 00:00,604.98,609.74,601,608.16,4038.34,2447636.44,606.1
07/09/2016 00:00,608.93,615.92,604.7,615.16,4502.71,2749975.14,610.74
08/09/2016 00:00,614.44,628.98,611.66,625.67,4354.95,2710494.38,622.39
09/09/2016 00:00,625.67,627.49,612.93,622.01,3274.08,2031926.21,620.61
10/09/2016 00:00,622.01,625,618.67,621.65,1527.84,950617.06,622.2
11/09/2016 00:00,621.65,628.99,594.63,606.32,5336.95,3240280.33,607.14
12/09/2016 00:00,604.08,609.15,602,608.04,3512.28,2126936.02,605.57
13/09/2016 00:00,606.4,609.61,603.28,607.46,3471.53,2106487.11,606.79
14/09/2016 00:00,607.45,610.69,605.98,608.5,2895.46,1761472.1,608.36
15/09/2016 00:00,608.5,608.99,602.3,606.71,3085.67,1870525.59,606.2
16/09/2016 00:00,606.65,608.99,603.5,605.69,2612.88,1585218.43,606.69
17/09/2016 00:00,607.04,607.59,601.1,604.1,1117.49,674972.58,604.01
18/09/2016 00:00,602.93,609.06,601.97,608,1307.06,792167.99,606.07
19/09/2016 00:00,608,609.5,603,608.72,2476.59,1504205.84,607.37
20/09/2016 00:00,608.73,608.88,600.94,600.94,2680.45,1625919.57,606.59
21/09/2016 00:00,600.85,601.01,592.1,595.46,3671.19,2184063.91,594.92
22/09/2016 00:00,595.46,596.42,592.5,595.41,2421.45,1440643.03,594.95
23/09/2016 00:00,595.42,602.9,593,601.42,4007.88,2394294.73,597.4
24/09/2016 00:00,600.47,603.59,597.76,599.33,1140.23,685185.08,600.92
25/09/2016 00:00,600.05,601.99,596,598.98,1086.84,650928.91,598.92
26/09/2016 00:00,598.95,607.27,596.1,606.47,4056.39,2444753.79,602.69
27/09/2016 00:00,606.7,608.37,600.02,604.26,3055.82,1846161.51,604.15
28/09/2016 00:00,605.07,605.3,601.41,603.95,2202.75,1329117.2,603.39
29/09/2016 00:00,603.93,605.99,601,605.6,2718.02,1641055.44,603.77
30/09/2016 00:00,605.59,608.39,603.15,608.23,2633.44,1593409.04,605.07
01/10/2016 00:00,608.23,614.28,608.23,612.98,1458.84,892033.66,611.47
02/10/2016 00:00,612.98,613,605,608.6,1407.06,856141.65,608.46
03/10/2016 00:00,608.6,612.98,606.6,611.16,2245.89,1370270.02,610.12
04/10/2016 00:00,612.84,612.84,604.99,607.19,2955.42,1795599.85,607.56
05/10/2016 00:00,607.19,612,605.76,608.49,2410.93,1469331.48,609.45
06/10/2016 00:00,608.01,610.5,607.09,610.25,2039.82,1242954.86,609.35
07/10/2016 00:00,610.25,616.34,607.52,614.88,4033.82,2468265.95,611.89
08/10/2016 00:00,614.88,616.99,612.5,614.34,888.66,546015.41,614.43
09/10/2016 00:00,614.34,614.98,610,613.06,1174.26,719904.66,613.07
10/10/2016 00:00,612.12,616.47,612.12,616,2295.52,1410892.89,614.63
11/10/2016 00:00,616.37,639,614.56,639,8087.32,5100218.35,630.64
12/10/2016 00:00,638.3,640,628.76,634.5,2658.53,1690227.11,635.78
13/10/2016 00:00,634.5,636,630,634.02,2381.5,1510988.67,634.47
14/10/2016 00:00,635.16,639.99,630.45,638.2,3154.82,2003219.14,634.97
15/10/2016 00:00,638.2,642,635.25,635.96,1421.85,908251.54,638.78
16/10/2016 00:00,635.26,641.4,635.18,638.97,1289.54,823539.55,638.63
17/10/2016 00:00,638.97,639.99,632.1,636.91,3958.04,2516207.28,635.72
18/10/2016 00:00,636.96,637.8,631.52,635.95,2731.18,1735476.56,635.43
